,Station Complex Name,ridership_ratio_clusters,total_ridership_clusters,combo_cluster
0,"Grand Army Plaza (2,3)",residential,low ridership,residential-low ridership
1,23 St (1),destination,low ridership,destination-low ridership
2,"116 St (C,B)",residential,low ridership,residential-low ridership
3,Howard Beach-JFK Airport (A),destination,low ridership,destination-low ridership
4,77 St (6),destination,low ridership,destination-low ridership
5,Norwood-205 St (D),residential,low ridership,residential-low ridership
6,"Lorimer St (M,J)",residential,low ridership,residential-low ridership
7,116 St (6),residential,low ridership,residential-low ridership
8,"Beach 105 St (A,S)",destination,low ridership,destination-low ridership
9,Grand St (L),residential,low ridership,residential-low ridership
10,155 St (C),residential,low ridership,residential-low ridership
11,Lafayette Av (C),destination,low ridership,destination-low ridership
12,"59 St-Columbus Circle (A,B,C,D,1)",destination,high ridership,destination-high ridership
13,"59 St (N,R)",residential,low ridership,residential-low ridership
14,"125 St (2,3)",destination,low ridership,destination-low ridership
15,72 St (Q),destination,low ridership,destination-low ridership
16,"75 Av (E,F)",residential,low ridership,residential-low ridership
17,"Franklin Av (C,S)",residential,low ridership,residential-low ridership
18,"36 St (D,N,R)",destination,low ridership,destination-low ridership
19,Marble Hill-225 St (1),residential,low ridership,residential-low ridership
20,Aqueduct-N Conduit Av (A),residential,low ridership,residential-low ridership
21,East 105 St (L),residential,low ridership,residential-low ridership
22,"Canal St (J,N,Q,R,W,Z,6)",destination,high ridership,destination-high ridership
23,103 St (1),residential,low ridership,residential-low ridership
24,"182-183 Sts (B,D)",residential,low ridership,residential-low ridership
25,New Lots Av (L),residential,low ridership,residential-low ridership
26,Neptune Av (F),residential,low ridership,residential-low ridership
27,"Lexington Av-53 St (E,M)/51 St (6)",destination,high ridership,destination-high ridership
28,Bay Pkwy (F),residential,low ridership,residential-low ridership
29,"138 St-Grand Concourse (4,5)",residential,low ridership,residential-low ridership
30,181 St (1),residential,low ridership,residential-low ridership
31,"Lexington Av (N,R,W)/59 St (4,5,6)",destination,high ridership,destination-high ridership
32,Bay Ridge-95 St (R),residential,low ridership,residential-low ridership
33,104 St (A),residential,low ridership,residential-low ridership
34,Dyckman St (1),residential,low ridership,residential-low ridership
35,"Allerton Av (2,5)",residential,low ridership,residential-low ridership
36,"Hewes St (M,J)",residential,low ridership,residential-low ridership
37,"Utica Av (A,C)",residential,low ridership,residential-low ridership
38,"Norwood Av (J,Z)",residential,low ridership,residential-low ridership
39,Middle Village-Metropolitan Av (M),residential,low ridership,residential-low ridership
40,Aqueduct Racetrack (A),destination,low ridership,destination-low ridership
41,"65 St (M,R)",residential,low ridership,residential-low ridership
42,18 Av (D),residential,low ridership,residential-low ridership
43,"Rockaway Park-Beach 116 St (A,S)",destination,low ridership,destination-low ridership
44,175 St (A),residential,low ridership,residential-low ridership
45,"121 St (J,Z)",residential,low ridership,residential-low ridership
46,Wakefield-241 St (2),residential,low ridership,residential-low ridership
47,145 St (1),residential,low ridership,residential-low ridership
48,181 St (A),residential,low ridership,residential-low ridership
49,Elder Av (6),residential,low ridership,residential-low ridership
50,"135 St (2,3)",residential,low ridership,residential-low ridership
51,York St (F),destination,low ridership,destination-low ridership
52,21 St (G),destination,low ridership,destination-low ridership
53,Pennsylvania Av (3),residential,low ridership,residential-low ridership
54,"Freeman St (2,5)",residential,low ridership,residential-low ridership
55,Graham Av (L),residential,low ridership,residential-low ridership
56,"Elmhurst Av (M,R)",residential,low ridership,residential-low ridership
57,"174-175 Sts (B,D)",residential,low ridership,residential-low ridership
58,"President St-Medgar Evers College (2,5)",residential,low ridership,residential-low ridership
59,Union St (R),destination,low ridership,destination-low ridership
60,"Beach 98 St (A,S)",residential,low ridership,residential-low ridership
61,"Nostrand Av (A,C)",residential,low ridership,residential-low ridership
62,Kingston-Throop Avs (C),residential,low ridership,residential-low ridership
63,"23 St (R,W)",destination,low ridership,destination-low ridership
64,"8 St-NYU (R,W)",destination,low ridership,destination-low ridership
65,Greenpoint Av (G),destination,low ridership,destination-low ridership
66,Parkside Av (Q),residential,low ridership,residential-low ridership
67,"15 St-Prospect Park (F,G)",residential,low ridership,residential-low ridership
68,DeKalb Av (L),residential,low ridership,residential-low ridership
69,Morris Park (5),residential,low ridership,residential-low ridership
70,Avenue U (Q),residential,low ridership,residential-low ridership
71,"23 St (F,M)",destination,low ridership,destination-low ridership
72,"Carroll St (F,G)",residential,low ridership,residential-low ridership
73,21 St-Queensbridge (F),residential,low ridership,residential-low ridership
74,20 Av (D),residential,low ridership,residential-low ridership
75,Fort Hamilton Pkwy (D),residential,low ridership,residential-low ridership
76,"Cathedral Pkwy (110 St) (C,B)",residential,low ridership,residential-low ridership
77,"28 St (R,W)",destination,low ridership,destination-low ridership
78,"Steinway St (M,R)",residential,low ridership,residential-low ridership
79,96 St (Q),residential,low ridership,residential-low ridership
80,"West Farms Sq-E Tremont Av (2,5)",residential,low ridership,residential-low ridership
81,9 Av (D),residential,low ridership,residential-low ridership
82,Parsons Blvd (F),residential,low ridership,residential-low ridership
83,Bay 50 St (D),residential,low ridership,residential-low ridership
84,66 St-Lincoln Center (1),destination,low ridership,destination-low ridership
85,Baychester Av (5),residential,low ridership,residential-low ridership
86,New Utrecht Av (N)/62 St (D),residential,low ridership,residential-low ridership
87,Prospect Av (R),residential,low ridership,residential-low ridership
88,Seneca Av (M),residential,low ridership,residential-low ridership
89,55 St (D),destination,low ridership,destination-low ridership
90,"Tremont Av (B,D)",residential,low ridership,residential-low ridership
91,Spring St (6),destination,low ridership,destination-low ridership
92,"Bowery (J,Z)",destination,low ridership,destination-low ridership
93,"170 St (B,D)",residential,low ridership,residential-low ridership
94,Avenue X (F),residential,low ridership,residential-low ridership
95,145 St (3),residential,low ridership,residential-low ridership
96,"Broadway (N,W)",residential,low ridership,residential-low ridership
97,"Kew Gardens-Union Tpke (E,F)",residential,low ridership,residential-low ridership
98,Bay Ridge Av (R),residential,low ridership,residential-low ridership
99,"Wall St (4,5)",destination,low ridership,destination-low ridership
100,"Van Siclen Av (J,Z)",residential,low ridership,residential-low ridership
101,Castle Hill Av (6),residential,low ridership,residential-low ridership
102,"Woodhaven Blvd (M,R)",residential,low ridership,residential-low ridership
103,"23 St (C,E)",destination,low ridership,destination-low ridership
104,"Bergen St (2,3)",residential,low ridership,residential-low ridership
105,50 St (1),destination,low ridership,destination-low ridership
106,"7 Av (E,B,D)",destination,low ridership,destination-low ridership
107,Van Cortlandt Park-242 St (1),residential,low ridership,residential-low ridership
108,Mosholu Pkwy (4),residential,low ridership,residential-low ridership
109,"Lexington Av/63 St (F,Q)",destination,low ridership,destination-low ridership
110,"South Ferry (1)/Whitehall St (R,W)",destination,low ridership,destination-low ridership
111,1 Av (L),destination,low ridership,destination-low ridership
112,"149 St-Grand Concourse (2,4,5)",destination,low ridership,destination-low ridership
113,"225 St (2,5)",residential,low ridership,residential-low ridership
114,Avenue U (F),residential,low ridership,residential-low ridership
115,Beach 36 St (A),residential,low ridership,residential-low ridership
116,Houston St (1),destination,low ridership,destination-low ridership
117,"Bedford Park Blvd (B,D)",residential,low ridership,residential-low ridership
118,"City Hall (R,W)",destination,low ridership,destination-low ridership
119,"Wall St (2,3)",destination,low ridership,destination-low ridership
120,"14 St (A,C,E)/8 Av (L)",destination,high ridership,destination-high ridership
121,"Grand St (B,D)",destination,low ridership,destination-low ridership
122,Bedford-Nostrand Avs (G),residential,low ridership,residential-low ridership
123,"Gun Hill Rd (2,5)",residential,low ridership,residential-low ridership
124,"Jay St-MetroTech (A,C,F,R)",destination,low ridership,destination-low ridership
125,Franklin St (1),destination,low ridership,destination-low ridership
126,Avenue I (F),destination,low ridership,destination-low ridership
127,Central Av (M),residential,low ridership,residential-low ridership
128,"233 St (2,5)",residential,low ridership,residential-low ridership
129,E 149 St (6),residential,low ridership,residential-low ridership
130,"Euclid Av (A,C)",residential,low ridership,residential-low ridership
131,"Queensboro Plaza (7,N,W)",residential,low ridership,residential-low ridership
132,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",destination,high ridership,destination-high ridership
133,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",residential,low ridership,residential-low ridership
134,"Franklin Av (2,3,4,5)/Botanic Garden (S)",residential,low ridership,residential-low ridership
135,215 St (1),residential,low ridership,residential-low ridership
136,191 St (1),residential,low ridership,residential-low ridership
137,Burnside Av (4),residential,low ridership,residential-low ridership
138,"Smith-9 Sts (F,G)",destination,low ridership,destination-low ridership
139,Alabama Av (J),destination,low ridership,destination-low ridership
140,Clinton-Washington Avs (C),residential,low ridership,residential-low ridership
141,"Newkirk Plaza (B,Q)",residential,low ridership,residential-low ridership
142,116 St-Columbia University (1),destination,low ridership,destination-low ridership
143,"Church Av (B,Q)",residential,low ridership,residential-low ridership
144,18 St (1),destination,low ridership,destination-low ridership
145,"4 Av (F,G)/9 St (R)",destination,low ridership,destination-low ridership
146,Bushwick Av-Aberdeen St (L),residential,low ridership,residential-low ridership
147,"49 St (N,R,W)",destination,low ridership,destination-low ridership
148,Jamaica-179 St (F),residential,low ridership,residential-low ridership
149,"36 St (M,R)",destination,low ridership,destination-low ridership
150,"Delancey St (F)/Essex St (J,M,Z)",destination,low ridership,destination-low ridership
151,Canarsie-Rockaway Pkwy (L),residential,low ridership,residential-low ridership
152,"155 St (B,D)",residential,low ridership,residential-low ridership
153,Vernon Blvd-Jackson Av (7),residential,low ridership,residential-low ridership
154,"Jackson Av (2,5)",residential,low ridership,residential-low ridership
155,Avenue H (Q),residential,low ridership,residential-low ridership
156,Far Rockaway-Mott Av (A),residential,low ridership,residential-low ridership
157,Van Siclen Av (3),residential,low ridership,residential-low ridership
158,Astor Pl (6),destination,low ridership,destination-low ridership
159,Brook Av (6),residential,low ridership,residential-low ridership
160,Avenue N (F),residential,low ridership,residential-low ridership
161,"Myrtle-Wyckoff Avs (L,M)",residential,low ridership,residential-low ridership
162,"168 St (A,C,1)",destination,low ridership,destination-low ridership
163,"Prospect Park (B,Q,S)",residential,low ridership,residential-low ridership
164,"Bryant Pk (B,D,F,M)/5 Av (7)",destination,high ridership,destination-high ridership
165,Grant Av (A),residential,low ridership,residential-low ridership
166,23 St (6),destination,low ridership,destination-low ridership
167,Kings Hwy (N),residential,low ridership,residential-low ridership
168,"Sterling St (2,5)",residential,low ridership,residential-low ridership
169,"Bowling Green (4,5)",destination,low ridership,destination-low ridership
170,Livonia Av (L),residential,low ridership,residential-low ridership
171,"Fort Hamilton Pkwy (F,G)",residential,low ridership,residential-low ridership
172,"Woodhaven Blvd (J,Z)",residential,low ridership,residential-low ridership
173,"Beach 90 St (A,S)",destination,low ridership,destination-low ridership
174,Park Pl (S),residential,low ridership,residential-low ridership
175,"7 Av (F,G)",residential,low ridership,residential-low ridership
176,"161 St-Yankee Stadium (B,D,4)",destination,low ridership,destination-low ridership
177,"145 St (A,C,B,D)",residential,low ridership,residential-low ridership
178,"57 St-7 Av (N,Q,R,W)",destination,low ridership,destination-low ridership
179,"Broad Channel (A,S)",residential,low ridership,residential-low ridership
180,"Burke Av (2,5)",residential,low ridership,residential-low ridership
181,Harlem-148 St (3),residential,low ridership,residential-low ridership
182,Longwood Av (6),residential,low ridership,residential-low ridership
183,Cypress Hills (J),residential,low ridership,residential-low ridership
184,96 St (6),destination,low ridership,destination-low ridership
185,"Court St (R)/Borough Hall (2,3,4,5)",destination,low ridership,destination-low ridership
186,"Pelham Pkwy (2,5)",residential,low ridership,residential-low ridership
187,103 St (6),destination,low ridership,destination-low ridership
188,Bedford Park Blvd-Lehman College (4),residential,low ridership,residential-low ridership
189,90 St-Elmhurst Av (7),residential,low ridership,residential-low ridership
190,Flushing Av (G),destination,low ridership,destination-low ridership
191,Wilson Av (L),residential,low ridership,residential-low ridership
192,"Astoria-Ditmars Blvd (N,W)",residential,low ridership,residential-low ridership
193,Fulton St (G),destination,low ridership,destination-low ridership
194,"Canal St (A,C,E)",destination,low ridership,destination-low ridership
195,"Spring St (C,E)",destination,low ridership,destination-low ridership
196,Junius St (3),residential,low ridership,residential-low ridership
197,85 St-Forest Pkwy (J),residential,low ridership,residential-low ridership
198,"Myrtle Av (M,J,Z)",residential,low ridership,residential-low ridership
199,183 St (4),residential,low ridership,residential-low ridership
200,79 St (D),residential,low ridership,residential-low ridership
201,"34 St-Penn Station (A,C,E)",destination,high ridership,destination-high ridership
202,Fresh Pond Rd (M),residential,low ridership,residential-low ridership
203,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",destination,high ridership,destination-high ridership
204,Kings Hwy (F),residential,low ridership,residential-low ridership
205,Rockaway Av (3),residential,low ridership,residential-low ridership
206,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",residential,high ridership,residential-high ridership
207,Fort Hamilton Pkwy (N),residential,low ridership,residential-low ridership
208,"E 180 St (2,5)",residential,low ridership,residential-low ridership
209,Woodlawn (4),residential,low ridership,residential-low ridership
210,Cortelyou Rd (Q),residential,low ridership,residential-low ridership
211,Shepherd Av (C),residential,low ridership,residential-low ridership
212,Hunts Point Av (6),residential,low ridership,residential-low ridership
213,"DeKalb Av (B,Q,R)",destination,low ridership,destination-low ridership
214,"Intervale Av (2,5)",residential,low ridership,residential-low ridership
215,"81 St-Museum of Natural History (C,B)",destination,low ridership,destination-low ridership
216,86 St (R),residential,low ridership,residential-low ridership
217,"High St (A,C)",destination,low ridership,destination-low ridership
218,"Fulton St (A,C,J,Z,2,3,4,5)",destination,high ridership,destination-high ridership
219,Cathedral Pkwy (110 St) (1),destination,low ridership,destination-low ridership
220,"72 St (1,2,3)",destination,high ridership,destination-high ridership
221,157 St (1),residential,low ridership,residential-low ridership
222,33 St (6),destination,low ridership,destination-low ridership
223,Clinton-Washington Avs (G),residential,low ridership,residential-low ridership
224,61 St-Woodside (7),residential,low ridership,residential-low ridership
225,"Beverly Rd (2,5)",residential,low ridership,residential-low ridership
226,Beach 67 St (A),residential,low ridership,residential-low ridership
227,"103 St (C,B)",residential,low ridership,residential-low ridership
228,"125 St (4,5,6)",destination,low ridership,destination-low ridership
229,"34 St-Penn Station (1,2,3)",destination,high ridership,destination-high ridership
230,"Broad St (J,Z)",destination,low ridership,destination-low ridership
231,Junction Blvd (7),residential,low ridership,residential-low ridership
232,46 St-Bliss St (7),residential,low ridership,residential-low ridership
233,Rockaway Av (C),residential,low ridership,residential-low ridership
234,"Court Sq (E,G,M,7)",destination,low ridership,destination-low ridership
235,"86 St (C,B)",destination,low ridership,destination-low ridership
236,"Nevins St (2,3,4,5)",destination,low ridership,destination-low ridership
237,190 St (A),residential,low ridership,residential-low ridership
238,"Broadway Junction (A,C,J,L,Z)",residential,low ridership,residential-low ridership
239,82 St-Jackson Hts (7),residential,low ridership,residential-low ridership
240,Buhre Av (6),residential,low ridership,residential-low ridership
241,"7 Av (B,Q)",residential,low ridership,residential-low ridership
242,"Coney Island-Stillwell Av (D,F,N,Q)",destination,low ridership,destination-low ridership
243,Sutphin Blvd (F),residential,low ridership,residential-low ridership
244,New Lots Av (3),residential,low ridership,residential-low ridership
245,86 St (Q),residential,low ridership,residential-low ridership
246,Pelham Pkwy (5),residential,low ridership,residential-low ridership
247,25 Av (D),residential,low ridership,residential-low ridership
248,Dyckman St (A),residential,low ridership,residential-low ridership
249,"Nereid Av (2,5)",residential,low ridership,residential-low ridership
250,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",destination,high ridership,destination-high ridership
251,"67 Av (M,R)",residential,low ridership,residential-low ridership
252,Atlantic Av (L),residential,low ridership,residential-low ridership
253,Hunters Point Av (7),destination,low ridership,destination-low ridership
254,3 Av-138 St (6),residential,low ridership,residential-low ridership
255,Liberty Av (C),residential,low ridership,residential-low ridership
256,Halsey St (J),residential,low ridership,residential-low ridership
257,68 St-Hunter College (6),destination,low ridership,destination-low ridership
258,Avenue M (Q),residential,low ridership,residential-low ridership
259,"Gates Av (J,Z)",residential,low ridership,residential-low ridership
260,Sutter Av (L),residential,low ridership,residential-low ridership
261,"46 St (M,R)",residential,low ridership,residential-low ridership
262,"63 Dr-Rego Park (M,R)",residential,low ridership,residential-low ridership
263,125 St (1),destination,low ridership,destination-low ridership
264,Mets-Willets Point (7),destination,low ridership,destination-low ridership
265,Inwood-207 St (A),residential,low ridership,residential-low ridership
266,"Prince St (R,W)",destination,low ridership,destination-low ridership
267,Bedford Av (L),destination,low ridership,destination-low ridership
268,"Eastern Pkwy-Brooklyn Museum (2,3)",destination,low ridership,destination-low ridership
269,Knickerbocker Av (M),residential,low ridership,residential-low ridership
270,"3 Av-149 St (2,5)",residential,low ridership,residential-low ridership
271,"Winthrop St (2,5)",residential,low ridership,residential-low ridership
272,Middletown Rd (6),residential,low ridership,residential-low ridership
273,Morrison Av-Soundview (6),residential,low ridership,residential-low ridership
274,Morgan Av (L),residential,low ridership,residential-low ridership
275,"Flatbush Av-Brooklyn College (2,5)",residential,low ridership,residential-low ridership
276,52 St (7),residential,low ridership,residential-low ridership
277,"5 Av/53 St (E,M)",destination,low ridership,destination-low ridership
278,53 St (R),residential,low ridership,residential-low ridership
