,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
1 Av (L),0.08,-0.06,-0.03,-0.07,0.08,0.03,0.0,-0.01,0.0,0.02,-0.03,0.04,destination
103 St (1),0.02,-0.06,0.04,-0.04,0.04,0.02,0.03,-0.01,0.01,0.0,-0.03,0.03,residential
103 St (6),0.01,-0.04,0.01,-0.04,0.1,-0.01,-0.02,0.03,0.02,0.09,-0.09,-0.02,destination
"103 St (C,B)",0.0,-0.06,0.02,-0.01,0.03,0.04,0.03,-0.01,-0.01,0.0,-0.03,0.03,residential
103 St-Corona Plaza (7),-0.01,0.1,-0.02,0.02,-0.08,0.0,0.04,0.0,-0.03,-0.05,0.05,0.01,residential
104 St (A),-0.02,0.13,-0.02,0.09,-0.12,-0.04,0.0,-0.02,-0.04,-0.04,0.15,-0.03,residential
"104 St (J,Z)",-0.01,0.11,0.0,0.07,-0.08,-0.07,0.01,-0.02,-0.01,-0.03,0.1,-0.03,residential
110 St (6),0.0,-0.03,0.03,0.0,0.03,0.0,0.0,0.02,0.0,0.03,-0.03,0.0,residential
111 St (7),-0.02,0.1,-0.03,0.05,-0.1,0.03,0.04,0.0,-0.04,-0.06,0.04,0.03,residential
111 St (A),-0.03,0.15,-0.04,0.11,-0.13,-0.05,0.0,-0.03,-0.04,-0.05,0.18,-0.03,residential
111 St (J),-0.01,0.08,0.02,0.05,-0.05,-0.07,-0.01,-0.01,0.01,0.01,0.07,-0.04,residential
"116 St (2,3)",0.01,-0.04,0.01,0.0,0.01,0.04,0.01,-0.01,0.01,0.0,-0.02,0.03,residential
116 St (6),0.0,-0.03,0.04,-0.04,0.06,0.0,0.0,0.0,0.02,0.05,-0.05,0.0,residential
"116 St (C,B)",0.01,-0.05,0.02,-0.01,0.02,0.03,0.02,-0.02,0.0,0.0,-0.01,0.03,residential
116 St-Columbia University (1),0.05,-0.08,-0.02,-0.14,0.2,0.0,-0.02,0.0,0.1,0.07,-0.14,0.01,destination
"121 St (J,Z)",0.01,0.05,-0.01,0.02,0.01,-0.06,-0.01,0.02,0.01,0.0,0.02,-0.03,residential
125 St (1),0.04,-0.05,0.0,-0.08,0.11,0.01,0.01,0.0,0.04,0.04,-0.08,0.01,destination
"125 St (2,3)",0.02,-0.05,0.01,-0.07,0.09,0.03,-0.01,0.01,0.04,0.04,-0.08,0.02,destination
"125 St (4,5,6)",0.02,-0.02,-0.01,-0.04,0.07,0.01,-0.02,0.04,0.02,0.05,-0.08,0.0,destination
"125 St (A,C,B,D)",0.03,-0.04,0.0,-0.06,0.07,0.03,0.0,0.01,0.02,0.03,-0.06,0.02,destination
"135 St (2,3)",0.0,-0.03,0.02,-0.03,0.03,0.01,0.01,0.02,0.0,0.03,-0.04,0.01,residential
"135 St (C,B)",0.0,-0.05,0.04,-0.02,0.06,0.0,0.02,0.0,0.01,0.04,-0.04,0.0,residential
137 St-City College (1),0.0,-0.01,0.03,-0.02,0.01,0.01,0.04,0.0,0.0,0.0,-0.03,0.01,residential
"138 St-Grand Concourse (4,5)",0.01,0.04,0.0,-0.05,0.04,-0.01,-0.01,0.06,0.01,0.03,-0.05,-0.01,residential
"14 St (A,C,E)/8 Av (L)",0.09,-0.06,-0.07,-0.15,0.15,0.05,-0.04,0.0,0.09,0.05,-0.13,0.05,destination
"14 St (F,M,1,2,3)/6 Av (L)",0.08,-0.06,-0.05,-0.12,0.12,0.04,-0.04,-0.01,0.06,0.04,-0.08,0.05,destination
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",0.09,-0.06,-0.06,-0.13,0.15,0.04,-0.05,-0.01,0.08,0.07,-0.11,0.04,destination
145 St (1),0.01,0.0,0.02,-0.02,-0.02,0.03,0.05,-0.01,-0.02,-0.04,-0.01,0.04,residential
145 St (3),-0.01,0.0,0.03,0.04,-0.02,-0.02,0.02,0.01,0.0,-0.02,0.02,-0.01,residential
"145 St (A,C,B,D)",0.0,-0.01,0.01,-0.02,0.01,0.03,0.04,0.0,-0.01,0.0,-0.03,0.02,residential
