,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
1 Av (L),14126.571428571428,4824.857142857143,24589.571428571428,12870.0,34197.0,21236.428571428572,10994.857142857143,7014.571428571428,22807.0,12918.857142857145,36801.57142857143,22375.14285714286,low ridership
103 St (1),3845.714285714286,1853.2857142857142,14639.714285714286,7945.571428571429,13625.142857142857,9452.714285714286,6559.285714285714,2815.285714285714,10718.285714285714,4526.571428571428,16838.285714285714,9674.142857142857,low ridership
103 St (6),2531.857142857143,2630.5714285714284,11613.714285714286,6718.142857142857,15197.57142857143,6711.285714285715,3782.0,4735.285714285715,10120.42857142857,8462.0,12158.57142857143,6539.571428571428,low ridership
"103 St (C,B)",1062.142857142857,904.0,5515.142857142857,3589.4285714285716,5261.0,4084.857142857143,2613.4285714285716,1311.142857142857,3922.285714285714,1841.4285714285713,6713.714285714286,3956.8571428571427,low ridership
103 St-Corona Plaza (7),4930.857142857143,23867.14285714286,28260.0,25854.0,18662.714285714286,19177.14285714286,15425.142857142857,7919.142857142857,18828.714285714286,4257.428571428571,45356.142857142855,18511.14285714286,low ridership
104 St (A),204.0,1576.857142857143,1619.142857142857,1907.142857142857,789.1428571428571,808.1428571428571,673.8571428571429,311.2857142857143,1086.5714285714287,360.0,3386.1428571428573,856.8571428571429,low ridership
"104 St (J,Z)",430.8571428571429,2451.4285714285716,2878.714285714286,3051.1428571428573,1732.7142857142858,1006.0,1228.142857142857,615.0,2186.5714285714284,693.7142857142857,5289.142857142857,1437.0,low ridership
110 St (6),1859.7142857142858,2708.0,10170.57142857143,6904.857142857143,9504.857142857143,5742.857142857143,3743.8571428571427,3268.571428571429,7500.857142857143,4593.428571428572,12157.571428571428,5800.714285714285,low ridership
111 St (7),1053.5714285714287,6738.428571428572,7678.714285714286,8202.0,4419.0,6443.571428571428,4770.571428571428,2370.714285714286,5248.142857142857,1060.2857142857142,13183.714285714286,6428.857142857143,low ridership
111 St (A),221.57142857142856,2262.857142857143,1883.2857142857142,2662.1428571428573,886.5714285714286,1006.4285714285713,831.8571428571429,364.85714285714283,1357.0,345.7142857142857,4685.285714285715,1086.857142857143,low ridership
111 St (J),389.42857142857144,1559.4285714285716,2333.8571428571427,2064.714285714286,1607.5714285714287,776.2857142857143,770.1428571428571,505.14285714285717,1791.0,816.1428571428571,3654.8571428571427,1034.5714285714287,low ridership
"116 St (2,3)",1977.142857142857,2178.857142857143,9363.714285714286,6604.285714285714,8528.571428571428,7022.428571428572,3985.285714285714,2086.0,7393.0,3258.142857142857,12220.714285714286,6817.285714285715,low ridership
116 St (6),2778.285714285714,3513.285714285714,15120.0,7865.142857142857,14953.428571428572,8120.714285714286,5027.0,3686.4285714285716,11349.0,7013.0,15732.285714285714,8253.142857142857,low ridership
"116 St (C,B)",1653.2857142857142,1410.857142857143,7336.0,4949.857142857143,7010.714285714286,5238.571428571428,3326.285714285714,1460.857142857143,5392.428571428572,2355.714285714286,9604.714285714286,5225.714285714285,low ridership
116 St-Columbia University (1),6105.857142857143,1134.0,13748.714285714286,3281.0,25758.142857142855,9674.42857142857,4970.285714285715,4394.714285714285,18103.85714285714,9881.714285714286,13462.285714285714,10104.42857142857,low ridership
"121 St (J,Z)",505.14285714285717,1336.857142857143,2076.0,1841.0,2061.1428571428573,882.1428571428571,776.8571428571429,780.2857142857142,1790.2857142857142,782.2857142857142,3258.857142857143,1111.142857142857,low ridership
125 St (1),3104.4285714285716,1670.2857142857142,9021.0,4029.857142857143,12294.285714285714,6090.142857142857,3879.5714285714284,2714.285714285714,8605.285714285714,4661.857142857143,10242.142857142857,6356.285714285715,low ridership
"125 St (2,3)",3863.714285714286,2701.1428571428573,13971.428571428572,6261.142857142857,17244.14285714286,10138.285714285714,4587.428571428572,4179.571428571428,13136.857142857143,7040.571428571428,15045.285714285714,9897.857142857143,low ridership
